CD_CNES,DS_ESPECIALIDADE,TIPO,DS_DADO,NM_REGIAO_SAUDE,ANO,QTD_PROD,QTD_META,PORTE_HOSP,cluster,cluster2
2223546,Cirurgia Geral,SIA,CONSULTA,23 - Caxias e Hortênsias,2023,2898,2520,Hospital Geral III,0,1
2223546,Cirurgia Geral,SIA,CONSULTA,23 - Caxias e Hortênsias,2022,2722,2520,Hospital Geral III,0,1
2223546,Cirurgia Geral,SIA,CONSULTA,23 - Caxias e Hortênsias,2024,1919,2520,Hospital Geral III,0,1
2246988,Cirurgia Geral,SIA,CONSULTA,17 - Planalto,2023,2771,2520,Hospital Geral III,0,1
2246988,Cirurgia Geral,SIA,CONSULTA,17 - Planalto,2024,1634,2520,Hospital Geral III,0,1
2246988,Cirurgia Geral,SIA,CONSULTA,17 - Planalto,2022,2099,2520,Hospital Geral III,0,1
2237253,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2022,7162,2520,Hospital Geral III,0,1
2237253,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2023,8870,2520,Hospital Geral III,0,1
2237253,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2024,5854,2520,Hospital Geral III,0,1
2232073,Cirurgia Geral,SIA,CONSULTA,07 - Vale dos Sinos,2024,0,2520,Hospital Geral III,0,1
2232073,Cirurgia Geral,SIA,CONSULTA,07 - Vale dos Sinos,2022,0,2520,Hospital Geral III,0,1
2232073,Cirurgia Geral,SIA,CONSULTA,07 - Vale dos Sinos,2023,0,2520,Hospital Geral III,0,1
2257564,Cirurgia Geral,SIA,CONSULTA,06 - Vale do Paranhana e Costa Serra,2023,3194,2520,Hospital Geral I,0,1
2257564,Cirurgia Geral,SIA,CONSULTA,06 - Vale do Paranhana e Costa Serra,2022,2099,2520,Hospital Geral I,0,1
2257564,Cirurgia Geral,SIA,CONSULTA,06 - Vale do Paranhana e Costa Serra,2024,1400,2520,Hospital Geral I,0,1
2249510,Cirurgia Geral,SIA,CONSULTA,16 - Alto Uruguai Gaúcho,2023,1256,2520,Hospital Geral II,0,1
2249510,Cirurgia Geral,SIA,CONSULTA,16 - Alto Uruguai Gaúcho,2022,924,2520,Hospital Geral II,0,1
2249510,Cirurgia Geral,SIA,CONSULTA,16 - Alto Uruguai Gaúcho,2024,924,2520,Hospital Geral II,0,1
2262274,Cirurgia Geral,SIA,CONSULTA,17 - Planalto,2022,323,2520,Hospital Geral II,0,1
2262274,Cirurgia Geral,SIA,CONSULTA,17 - Planalto,2023,757,2520,Hospital Geral II,0,1
2262274,Cirurgia Geral,SIA,CONSULTA,17 - Planalto,2024,370,2520,Hospital Geral II,0,1
2253046,Cirurgia Geral,SIA,CONSULTA,21 - Sul,2023,1408,2520,Hospital Geral III,0,1
2253046,Cirurgia Geral,SIA,CONSULTA,21 - Sul,2022,1060,2520,Hospital Geral III,0,1
2253046,Cirurgia Geral,SIA,CONSULTA,21 - Sul,2024,633,2520,Hospital Geral III,0,1
2227932,Cirurgia Geral,SIA,CONSULTA,06 - Vale do Paranhana e Costa Serra,2022,1913,2520,Hospital Geral II,0,1
2227932,Cirurgia Geral,SIA,CONSULTA,06 - Vale do Paranhana e Costa Serra,2024,1668,2520,Hospital Geral II,0,1
2227932,Cirurgia Geral,SIA,CONSULTA,06 - Vale do Paranhana e Costa Serra,2023,2313,2520,Hospital Geral II,0,1
2236362,Cirurgia Geral,SIA,CONSULTA,28 - Vale do Rio Pardo,2022,1492,2520,Hospital Geral II,0,1
2236362,Cirurgia Geral,SIA,CONSULTA,28 - Vale do Rio Pardo,2023,1546,2520,Hospital Geral II,0,1
2236362,Cirurgia Geral,SIA,CONSULTA,28 - Vale do Rio Pardo,2024,769,2520,Hospital Geral II,0,1
2232928,Cirurgia Geral,SIA,CONSULTA,21 - Sul,2022,1169,2520,Hospital Geral II,0,1
2232928,Cirurgia Geral,SIA,CONSULTA,21 - Sul,2023,1259,2520,Hospital Geral II,0,1
2232928,Cirurgia Geral,SIA,CONSULTA,21 - Sul,2024,736,2520,Hospital Geral II,0,1
2232154,Cirurgia Geral,SIA,CONSULTA,07 - Vale dos Sinos,2024,1786,2520,Hospital Geral III,0,1
2232154,Cirurgia Geral,SIA,CONSULTA,07 - Vale dos Sinos,2022,2020,2520,Hospital Geral III,0,1
2233401,Cirurgia Geral,SIA,CONSULTA,21 - Sul,2022,2320,2520,Hospital Geral II,0,1
2233401,Cirurgia Geral,SIA,CONSULTA,21 - Sul,2023,3151,2520,Hospital Geral II,0,1
2233401,Cirurgia Geral,SIA,CONSULTA,21 - Sul,2024,1534,2520,Hospital Geral II,0,1
2257556,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2022,1536,2520,Hospital Geral III,0,1
2257556,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2023,2277,2520,Hospital Geral III,0,1
2257556,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2024,1080,2520,Hospital Geral III,0,1
2236370,Cirurgia Geral,SIA,CONSULTA,28 - Vale do Rio Pardo,2022,700,2520,Hospital Geral II,0,1
2236370,Cirurgia Geral,SIA,CONSULTA,28 - Vale do Rio Pardo,2024,199,2520,Hospital Geral II,0,1
2236370,Cirurgia Geral,SIA,CONSULTA,28 - Vale do Rio Pardo,2023,1567,2520,Hospital Geral II,0,1
2240335,Cirurgia Geral,SIA,CONSULTA,26 - Uva Vale,2022,2506,2520,Hospital Geral II,0,1
2240335,Cirurgia Geral,SIA,CONSULTA,26 - Uva Vale,2023,1958,2520,Hospital Geral II,0,1
2240335,Cirurgia Geral,SIA,CONSULTA,26 - Uva Vale,2024,1244,2520,Hospital Geral II,0,1
2232154,Cirurgia Geral,SIA,CONSULTA,07 - Vale dos Sinos,2023,2534,2520,Hospital Geral III,0,1
2707969,Cirurgia Geral,SIA,CONSULTA,04 - Belas Praias,2022,5656,2520,Hospital Geral II,0,1
2707969,Cirurgia Geral,SIA,CONSULTA,04 - Belas Praias,2023,3507,2520,Hospital Geral II,0,1
2707969,Cirurgia Geral,SIA,CONSULTA,04 - Belas Praias,2024,4696,2520,Hospital Geral II,0,1
2252023,Cirurgia Geral,SIA,CONSULTA,30 - Vale da Luz,2023,611,2520,Hospital Geral I,0,1
2252023,Cirurgia Geral,SIA,CONSULTA,30 - Vale da Luz,2024,1019,2520,Hospital Geral I,0,1
6424236,Cirurgia Geral,SIA,CONSULTA,09 - Carbonífera/Costa Doce,2024,1266,2520,Hospital Geral III,0,1
6424236,Cirurgia Geral,SIA,CONSULTA,09 - Carbonífera/Costa Doce,2022,2564,2520,Hospital Geral III,0,1
